"ddg.type","ddg.num","ddg.name","ddg.value","ddg.val.type","ddg.scope","ddg.from.env","ddg.time","ddg.hash","ddg.loc"
"Data",12,"daily.df","Row 1 102 2019  1 2400 0.264 4.18 -3.618 72.9 80.1 64.99 -4.035 -0.105 -7.41   0...","{""container"":""data_frame"", ""dimension"":[160,28], ""type"":[""integer"",""integer"",""integer"",""integer"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""integer"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""integer""]}","R_GlobalEnv",FALSE,"","",""
"Data",13,"hourly.df","Row 1  101 2019       1   15   0.894     99.5    0.819         0.508      0  0.1...","{""container"":""data_frame"", ""dimension"":[15371,18], ""type"":[""integer"",""integer"",""integer"",""integer"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric""]}","R_GlobalEnv",FALSE,"","",""
"Data",14,"rain.df","Row 1  101 2019       1   15   0.894     99.5    0.819         0.508      0  0.1...","{""container"":""data_frame"", ""dimension"":[1061,18], ""type"":[""integer"",""integer"",""integer"",""integer"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric""]}","R_GlobalEnv",FALSE,"","",""
"Data",15,"temp.df","Row 1  101 2019       1   15   0.894     99.5    0.819         0.508      0  0.1...","{""container"":""data_frame"", ""dimension"":[10235,18], ""type"":[""integer"",""integer"",""integer"",""integer"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric""]}","R_GlobalEnv",FALSE,"","",""
"Data",16,"rain.temp.df","Row 1  101 2019       1   15   0.894     99.5    0.819         0.508      0  0.1...","{""container"":""data_frame"", ""dimension"":[713,18], ""type"":[""integer"",""integer"",""integer"",""integer"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric""]}","R_GlobalEnv",FALSE,"","",""
"Data",17,"selected.columns.df","Row 1       1   15   0.894    1.808         0.508","{""container"":""data_frame"", ""dimension"":[15371,5], ""type"":[""integer"",""integer"",""numeric"",""numeric"",""numeric""]}","R_GlobalEnv",FALSE,"","",""
"Data",18,"filtered.selected.columns.df","Row 1       1   15   0.894    1.808         0.508","{""container"":""data_frame"", ""dimension"":[713,5], ""type"":[""integer"",""integer"",""numeric"",""numeric"",""numeric""]}","R_GlobalEnv",FALSE,"","",""
"Data",19,"five.highest.wind","Row 5288  101 2019      56 1345  -2.503     45.2   -12.76             0  165.8  ...","{""container"":""data_frame"", ""dimension"":[15371,18], ""type"":[""integer"",""integer"",""integer"",""integer"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric""]}","R_GlobalEnv",FALSE,"","",""
"Data",20,"five.highest.wind","Row 5288  101 2019      56 1345  -2.503     45.2   -12.76             0  165.8  ...","{""container"":""data_frame"", ""dimension"":[5,18], ""type"":[""integer"",""integer"",""integer"",""integer"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric"",""numeric""]}","R_GlobalEnv",FALSE,"","",""
"Data",21,"feature.highest.wind.df","Row 5288      56 1345  -2.503             0     6.753","{""container"":""data_frame"", ""dimension"":[5,5], ""type"":[""integer"",""integer"",""numeric"",""numeric"",""numeric""]}","R_GlobalEnv",FALSE,"","",""
